關鍵字,學校數,學校清單（114年）
地方創生,70,國立清華大學、中信科技大學、中國科技大學、中國文化大學、中原大學、中臺科技大學、中華大學、中華醫事科技大學、中華科技大學、佛光大學、僑光科技大學、南臺科技大學、南開科技大學、南華大學、台南應用科技大學、嘉南藥理大學、國立中央大學、國立中山大學、國立中正大學、國立勤益科技大學、國立嘉義大學、國立宜蘭大學、國立屏東科技大學、國立成功大學、國立暨南國際大學、國立臺北大學、國立臺北科技大學、國立臺中科技大學、國立臺東大學、國立臺灣大學、國立臺南大學、國立臺灣海洋大學、國立臺灣科技大學、國立虎尾科技大學、國立金門大學、國立雲林科技大學、國立陽明交通大學、國立高雄師範大學、國立高雄餐旅大學、大仁科技大學、國立高雄科技大學、大葉大學、實踐大學、崑山科技大學、嶺東科技大學、建國科技大學、弘光科技大學、慈濟大學、敏實科技大學、明志科技大學、明新科技大學、朝陽科技大學、樹德科技大學、東南科技大學、玄奘大學、正修科技大學、淡江大學學校財團法人淡江大學、經國管理學院(112.08.01更名「德育護理健康學院」)、義守大學、耕莘健康管理專科學校、育達科技大學、致理科技大學、華梵大學、輔仁大學、銘傳大學、長榮大學、馬偕醫學大學、馬偕醫護管理專科學校、高雄醫學大學、龍華科技大學
環境永續,34,中信科技大學、中原大學、中國科技大學、中華大學、健行科技大學、僑光科技大學、元培醫事科技大學、南華大學、嘉南藥理大學、國立中山大學、國立中興大學、國立勤益科技大學、國立嘉義大學、國立彰化師範大學、國立暨南國際大學、國立清華大學、國立東華大學、國立臺北大學、國立臺灣海洋大學、國立臺灣科技大學、國立虎尾科技大學、大葉大學、崑山科技大學、弘光科技大學、敏實科技大學、朝陽科技大學、東海大學、法鼓文理學院、義守大學、萬能科技大學、輔英科技大學、逢甲大學、長榮大學、龍華科技大學
食農教育,29,亞洲大學、僑光科技大學、南華大學、台南應用科技大學、嘉南藥理大學、國立勤益科技大學、國立宜蘭大學、國立屏東科技大學、國立成功大學、國立聯合大學、國立臺北大學、國立臺中科技大學、國立臺東大學、國立臺灣大學、國立臺灣科技大學、國立雲林科技大學、國立高雄師範大學、國立高雄餐旅大學、大葉大學、實踐大學、崑山科技大學、敏實科技大學、明志科技大學、朝陽科技大學、義守大學、耕莘健康管理專科學校、長榮大學、馬偕醫學大學、龍華科技大學
健康促進,28,中國醫藥大學、中華醫事科技大學、亞東科技大學、亞洲大學、元培醫事科技大學、嘉南藥理大學、國立屏東科技大學、國立成功大學、國立臺中科技大學、國立澎湖科技大學、國立臺北護理健康大學、國立臺東大學、國立陽明交通大學、實踐大學、明新科技大學、朝陽科技大學、東吳大學、樹德科技大學、美和科技大學、義守大學、耕莘健康管理專科學校、臺北醫學大學、臺北市立大學、輔英科技大學、長庚大學、馬偕醫學大學、高雄醫學大學、馬偕醫護管理專科學校
偏鄉教育,26,中國文化大學、中華科技大學、亞洲大學、健行科技大學、元智大學、南華大學、國立中央大學、國立中山大學、國立中興大學、國立嘉義大學、國立屏東大學、國立屏東科技大學、國立彰化師範大學、國立政治大學、國立暨南國際大學、國立東華大學、國立臺南大學、國立臺灣科技大學、國立高雄大學、文藻外語大學、樹德科技大學、正修科技大學、義守大學、高雄醫學大學、馬偕醫護管理專科學校、龍華科技大學
文化永續,25,中國科技大學、中華科技大學、南臺科技大學、台南應用科技大學、國立中山大學、國立中正大學、國立嘉義大學、國立屏東科技大學、國立清華大學、國立臺中教育大學、國立臺北大學、國立臺北科技大學、國立臺南藝術大學、國立臺灣科技大學、國立虎尾科技大學、國立陽明交通大學、實踐大學、弘光科技大學、明志科技大學、樹德科技大學、正修科技大學、淡江大學學校財團法人淡江大學、玄奘大學、輔仁大學、逢甲大學
高齡照護,21,中信科技大學、亞東科技大學、佛光大學、亞洲大學、元培醫事科技大學、南臺科技大學、元智大學、嘉南藥理大學、國立中正大學、國立成功大學、國立臺北護理健康大學、國立陽明交通大學、大葉大學、實踐大學、義守大學、育達科技大學、臺北醫學大學、輔英科技大學、馬偕醫學大學、馬偕醫護管理專科學校、高雄醫學大學
環境教育,18,中國文化大學、中國科技大學、台南應用科技大學、嘉南藥理大學、國立嘉義大學、國立彰化師範大學、國立清華大學、國立臺南大學、國立金門大學、大仁科技大學、崑山科技大學、明志科技大學、明新科技大學、樹德科技大學、萬能科技大學、輔英科技大學、長榮大學、高雄醫學大學
青銀共學,17,亞東科技大學、南開科技大學、嘉南藥理大學、國立嘉義大學、國立中興大學、國立宜蘭大學、國立澎湖科技大學、國立臺北大學、國立臺灣大學、朝陽科技大學、東吳大學、東南科技大學、美和科技大學、致理科技大學、華梵大學、馬偕醫護管理專科學校、高雄醫學大學
循環經濟,15,中信科技大學、佛光大學、南臺科技大學、國立中山大學、國立勤益科技大學、國立暨南國際大學、國立東華大學、國立臺東大學、國立雲林科技大學、崑山科技大學、明新科技大學、朝陽科技大學、義守大學、耕莘健康管理專科學校、輔仁大學
在地關懷,14,中信科技大學、元智大學、台北海洋科技大學、國立中央大學、國立屏東大學、國立屏東科技大學、國立政治大學、國立暨南國際大學、國立東華大學、文藻外語大學、朝陽科技大學、耕莘健康管理專科學校、輔英科技大學、龍華科技大學
智慧農業,14,中臺科技大學、南開科技大學、台南應用科技大學、嘉南藥理大學、國立勤益科技大學、國立屏東科技大學、國立宜蘭大學、國立東華大學、國立臺灣大學、國立臺灣科技大學、國立虎尾科技大學、崑山科技大學、敏實科技大學、義守大學
生態保育,10,中國科技大學、元培醫事科技大學、國立暨南國際大學、國立臺灣大學、國立臺灣海洋大學、國立臺灣科技大學、大葉大學、實踐大學、明志科技大學、萬能科技大學
原住民文化,8,中華科技大學、國立中央大學、國立中山大學、國立宜蘭大學、國立臺灣大學、國立臺東大學、玄奘大學、輔仁大學
淨零碳排,7,中信科技大學、國立臺北大學、國立臺東大學、崑山科技大學、弘光科技大學、樹德科技大學、逢甲大學
食品安全,7,亞洲大學、元培醫事科技大學、嘉南藥理大學、國立聯合大學、國立金門大學、大葉大學、朝陽科技大學
青銀共創,7,南臺科技大學、國立臺南大學、國立陽明交通大學、朝陽科技大學、樹德科技大學、義守大學、耕莘健康管理專科學校
生態旅遊,7,嘉南藥理大學、國立宜蘭大學、國立屏東科技大學、大仁科技大學、崑山科技大學、建國科技大學、銘傳大學
國際合作,7,國立中山大學、國立中興大學、國立屏東大學、國立成功大學、國立暨南國際大學、國立臺灣海洋大學、長榮大學
新住民關懷,6,國立清華大學、國立東華大學、明志科技大學、長庚科技大學、開南大學、靜宜大學
文化資產保存,6,中國科技大學、南臺科技大學、國立勤益科技大學、國立臺南藝術大學、國立虎尾科技大學、國立雲林科技大學
在地老化,6,南臺科技大學、南開科技大學、台北海洋科技大學、國立中興大學、國立金門大學、長庚大學
高齡健康促進,6,台北海洋科技大學、國立中興大學、國立宜蘭大學、國立臺灣師範大學、育達科技大學、馬偕醫學大學
韌性社區,6,國立中央大學、國立東華大學、國立清華大學、國立臺灣科技大學、弘光科技大學、慈濟大學
永續農業,6,國立屏東科技大學、國立暨南國際大學、國立聯合大學、國立虎尾科技大學、國立雲林科技大學、耕莘健康管理專科學校
文化保存,5,中信科技大學、中華大學、國立雲林科技大學、實踐大學、崑山科技大學
偏鄉醫療,5,中國醫藥大學、國立中興大學、國立清華大學、長庚大學、馬偕醫護管理專科學校
特殊教育,5,亞東科技大學、國立中央大學、國立屏東大學、國立臺南大學、大同大學
永續社區,5,亞東科技大學、國立中山大學、國立臺灣大學、致理科技大學、輔英科技大學
智慧照護,5,南臺科技大學、南開科技大學、國立臺中科技大學、國立臺北護理健康大學、實踐大學
食魚教育,5,台南應用科技大學、國立中山大學、國立臺灣海洋大學、國立高雄科技大學、輔英科技大學
碳盤查,5,嘉南藥理大學、國立彰化師範大學、國立虎尾科技大學、敏實科技大學、明志科技大學
原住民部落,5,國立中興大學、國立屏東科技大學、國立臺灣科技大學、明新科技大學、馬偕醫護管理專科學校
離島社區,5,國立屏東大學、國立澎湖科技大學、國立臺灣海洋大學、國立金門大學、輔英科技大學
社區健康促進,4,中信科技大學、佛光大學、國立臺北護理健康大學、長庚科技大學
代間共學,4,中臺科技大學、中華大學、國立屏東科技大學、國立臺北護理健康大學
社區共創,4,中華大學、中華科技大學、大葉大學、崑山科技大學
低碳旅遊,4,中華大學、僑光科技大學、國立臺中科技大學、萬能科技大學
社區關懷據點,4,亞洲大學、美和科技大學、致理科技大學、馬偕醫護管理專科學校
教育平權,4,亞洲大學、南華大學、國立彰化師範大學、國立高雄大學
青銀共融,4,元培醫事科技大學、國立中興大學、國立臺北護理健康大學、朝陽科技大學
藝術共創,4,南臺科技大學、國立成功大學、玄奘大學、靜宜大學
社區營造,4,南華大學、國立成功大學、弘光科技大學、致理科技大學
濕地生態,4,台北海洋科技大學、國立清華大學、崑山科技大學、輔英科技大學
農產加值,4,台南應用科技大學、嘉南藥理大學、朝陽科技大學、正修科技大學
高齡友善社區,4,嘉南藥理大學、國立臺灣師範大學、東南科技大學、樹德科技大學
海洋保育,4,國立中山大學、國立臺東大學、國立臺灣海洋大學、輔英科技大學
生物多樣性,4,國立中山大學、國立中興大學、國立嘉義大學、國立屏東科技大學
師資培育,4,國立屏東大學、國立屏東科技大學、國立彰化師範大學、國立臺南大學
原民部落,4,國立清華大學、國立臺東大學、慈濟大學、長榮大學
超高齡社會,4,國立臺北大學、義守大學、致理科技大學、臺北醫學大學
文化轉譯,4,國立臺東大學、國立臺南大學、國立雲林科技大學、輔仁大學
永續觀光,4,國立臺東大學、慈濟大學、玄奘大學、銘傳大學
智慧防災,3,中國科技大學、國立中央大學、國立雲林科技大學
多元文化教育,3,中國文化大學、元智大學、實踐大學
綠色能源,3,中原大學、國立中央大學、國立臺灣科技大學
桃園復興區,3,中原大學、健行科技大學、長庚大學
社會共融,3,亞東科技大學、亞洲大學、國立屏東大學
空間活化,3,中華醫事科技大學、國立成功大學、國立暨南國際大學
歷史街區活化,3,中華科技大學、國立雲林科技大學、淡江大學學校財團法人淡江大學
智慧醫療,3,亞東科技大學、國立中興大學、長庚大學
遠距照護,3,亞東科技大學、國立中興大學、馬偕醫護管理專科學校
休閒農業,3,佛光大學、國立臺中科技大學、弘光科技大學
文化傳承,3,元培醫事科技大學、國立中山大學、義守大學
社區共融,3,南臺科技大學、長庚大學、長庚科技大學
智慧養殖,3,南臺科技大學、國立臺灣海洋大學、國立虎尾科技大學
雙語教學,3,元智大學、國立彰化師範大學、長榮大學
永續城鄉,3,南華大學、嘉南藥理大學、國立中山大學
低碳農業,3,台南應用科技大學、國立虎尾科技大學、長榮大學
早期療育,3,國立中央大學、長庚大學、長庚科技大學
海洋教育,3,國立中山大學、國立臺灣海洋大學、龍華科技大學
數位轉型,3,國立中央大學、大葉大學、慈濟大學
身心障礙關懷,3,國立中興大學、國立臺南大學、大同大學
溪流生態,3,國立中興大學、大仁科技大學、東海大學
林下經濟,3,國立宜蘭大學、國立屏東科技大學、國立臺灣大學
綠色經濟,3,國立彰化師範大學、國立東華大學、長榮大學
里山倡議,3,國立屏東科技大學、國立臺東大學、慈濟大學
六級產業,3,國立成功大學、國立高雄餐旅大學、大葉大學
活躍老化,3,國立澎湖科技大學、國立金門大學、樹德科技大學
沿海社區,3,國立清華大學、國立臺灣海洋大學、國立高雄科技大學
社會設計,3,國立臺東大學、弘光科技大學、明志科技大學
友善農業,3,國立臺灣大學、大葉大學、逢甲大學
客庄文化,3,國立高雄餐旅大學、正修科技大學、義守大學
農廢再利用,3,大葉大學、朝陽科技大學、義守大學
社區共生,3,實踐大學、朝陽科技大學、耕莘健康管理專科學校
青年返鄉,3,玄奘大學、正修科技大學、長榮大學
原鄉部落,3,正修科技大學、逢甲大學、長庚大學
