學校名稱,計畫名稱,計畫場域,計畫經費 (TWD),SROI 指標與成效,執行重點與特色,資料來源
國立高雄科技大學,鄰家好漁形塑計畫,國內固定場域：屏東縣林邊鄉林邊創新服務中心。國內其他場域：林邊、佳冬、枋寮、高屏地區水產養殖產區。國外固定場域：日本高知縣高知大學次世代地域創造中心。國外其他場域：日本長野縣松本市。,"核定總金額 8,800,000 元（補助款 8,000,000 元，配合款 800,000 元）。","智慧養殖系統辨識準確率達 95%；輔導 120 位業者，減少 1,254 公噸碳排放；無用藥技術使藥物使用頻度減少 38%，換水量減少 25%；水產品加工創造國際市場 2,100 萬日幣及台灣 840 萬台幣銷售額；利害關係人信任度普遍提升，學生跨域解決問題能力正向回饋約 88%。",以「友善智能化養殖輔導」、「水產食品安全與加值應用」、「品牌行銷與食漁教育推廣」、「國際社會實踐連結」四大策略為核心。特色包含建置 I-Turn 地方創生學分學程、開發魚鱗膠原蛋白飲品實踐循環經濟、舉辦台日印國際共好實踐競賽，以及與日本高知、千葉等大學進行跨國共學工作坊。,1
中華大學,驛動新埔-種希望樹、點幸福燈之綠色共生,新竹縣新埔鎮新埔市街與霄裡溪沿線村里,"2,750,000",以人才培育為例，投入資源初估 124 萬元，產出 440 萬元，SROI 值達 1:3.5，顯示人才培育執行效益顯著。,核心特色包含環境復育、產品行銷與教育推廣。推動「山林復育」及「以樹養老」理念，集結企業力量進行閒置茶園復育、開發在地特色產品（如宗祠意象燈具）、推廣代間共學。建立跨院系合作模式，透過 OKR 目標管理追蹤 14 項指標。,2
國立臺北科技大學,原住民部落安居構築與綠色樂業推動計畫,南投縣仁愛鄉東岸部落、新竹縣尖石鄉石磊部落,"7,700,000",採用參與式觀察法及訪談計算社會投資報酬率。具體成效包含培育 252 名學生、辦理 13 場延伸工作坊、與 15 間社群單位合作；提出部落總體防洪及水土災害應對模型。,包含「社會連結」、「部落創新」及「再造倫理」三大策略。特色包含傳統獵寮與現代建築結合實構築、建置智慧冷鏈運銷系統、賽德克族歷史數位典藏與食農教育。推動原青凝聚與返鄉青年住宅運動。,3
國立臺灣藝術大學,文化河流 文資串流-淡水河水系流域文化資產保存計畫,新北市（板橋、汐止等22區）、臺北市（大同、萬華等10區）、桃園市（八德、大溪等4區）、新竹縣（關西、尖石）,"3,025,000",量化指標包含完成 14 案文資健診、調查 10 個行政區（34 座建築、59 件文物）、辦理 18 場傳藝推廣活動。質化成效包含學生建築製圖證照考取、匠師認證，及 2 案 Matterport 3D 場域活化。,以「文資健診」、「記錄保存」、「傳藝推廣」、「場域活化」為四大核心。特色亮點包含老建築數位化保存（Matterport 3D 虛擬空間）、傳統工藝新生代匠師聯展（尬藝 2.0）、出版淡水河流域文資專書。,4
明新學校財團法人明新科技大學,新竹縣五峰鄉隘蘭軌跡人文、生態、空間、孵創基地計畫,新竹縣五峰鄉隘蘭道路沿路（上大隘部落、白蘭部落）,"2,750,000",完成賽夏族頭目之子手稿翻譯彙編（五冊/40主題/61篇）、製作 tinato' (帝那度) 祭儀空間導覽 APP 與 AR 服飾體驗。參與學生人數達到 156 人次。,側重於賽夏族與泰雅族之文化復振與產業孵化。特色包含發掘吾拜達路生平傳記、重構 tinato' 祭儀文化空間（3D/MR 模擬）、結合時尚系李明川老師設計賽夏族創新服飾、白蘭部落生態旅遊行銷。,5
嘉南藥理大學,嘉藥攜手阿蓮：賦能偏鄉社區x築夢幸福家園,高雄市阿蓮區（阿蓮、南蓮、崗山、峰山、石安、中路、崙港、玉庫社區、阿蓮樂智學堂）、台南市關廟區（東勢社區、元極舞協會）、高雄市田寮區（田寮老人福利協進會、山城農村協進會）、高雄市茄萣區（白雲社區、茄萣婦女工作協會）,"7,150,000","度小月肉燥罐頭已外銷至7個國家；112-113年營業額提升1,219,861元；阿蓮區長輩參與增加2%，社區住民對生活品質感滿意。",整合3院14個系所，擘劃「優化偏鄉照顧資源」、「銀髮多元健康促進」與「友善食品營養加持」三大分項。推動USR微學程，培植跨校院專業輔導團隊。,6
國立澎湖科技大學,與海為生-澎湖混獲資源化與海洋食魚教育,澎湖縣白沙鄉（丁香魚產銷班、赤崁國小、赤崁漁港）、湖西鄉（湖西國小）、馬公市（五德國小、風櫃國小、第三漁港）、西嶼鄉（池東國小）、鎖港（定置網漁場）,"3,025,000",完成8魚種教材教案，辦理111場次食魚教育，受惠學童1182人次。發現2種台灣新紀錄種魚類並發表論文。完成一件技術移轉案。,針對漁業混獲進行資源化研究，開發下雜魚料理SOP與加工食品。培養大學生擔任食魚教育種子教師，帶領國小學童進行五感實物教育與戶外教學。,7
耕莘健康管理專科學校,「足好」-照顧者身心適能健康促進計畫,宜蘭縣三星鄉（勁好園綜合長照機構、尊親館社區長照機構）、羅東鎮（聖母居家長照機構、博愛居家護理所）,"2,750,000",健康管理平台註冊達363名。足部反射培訓提升照顧者自癒力；學生赴日實習推廣FJM健康操，產生國際正向影響力。身心技法學員滿意度高，身體疼痛獲改善。,守護第一線照顧者健康，推廣足部反射健康法（FJM）。引進身心學技法與律動。建置照顧者健康管理智慧輔助系統。鏈結學海築夢進行海外實習。,8
耕莘健康管理專科學校,循環永續、共伴創生,宜蘭縣宜蘭市（宜蘭縣農會）、羅東鎮（五分火車平地線）、五結鄉、三星鄉（安農溪、大洲車站）、蘇澳鎮（朝陽社區）、礁溪鄉、新北市坪林區（北頂茶園）,"3,025,000",衍生7案產學合作近300萬元；協助企業取得384萬元計畫經費。研發產品獲世界品質評鑑大賞(Monde Selection)多項金、銀獎。米糠酒獲選宜蘭縣府伴手禮。,推動農棄物循環經濟（米糠、蔥根、茶梗等）六級產業化。建立大洲車站與青出宜蘭青創基地。人才培育向下紮根至國中小職探中心。推廣溫泉農遊健康產業。,9
聖約翰科技大學,北海岸跨領域共學共創共耕基地建構與創新生活文化圈整合創生深耕計畫,新北市淡水區（埤島里共耕基地、義山里、淡海新市鎮、重建街）、石門區（有機農業地區、海灣新城、老梅國小）、三芝區、新北市坪林區、台東縣台東大學與山海原民部落,"2,750,000",全國三創競賽共獲25組獎項；主辦農藝樂活市集吸引累計2000人次參與。建置北海岸文創購物車平台（10萬字圖文稿）。紀錄片保存地方文史。,建構「農業x藝術」共學共耕基地。導入AI與ESG於農業應用。推廣地產地消模式，媒合淡海新市鎮管委會與小農通路。結合影像紀錄、文創商品設計與食農教育繪本。,10
